experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run3-tbt-5s,1,continentale,5,none,true,12,25,1,288,299,288,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,11,8.119416,0.676618,0.674551,0.679512,1,0.916667,68701,70199,68701.0,70199.0,12,5.044,2.33,7.301,0.5088,9,0,2,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,26,1,300,311,300,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,1.196497,0.099708,0.096295,0.104487,1,0.083333,9948,9948,9948.0,9948.0,12,6.9926,4.381,7.417,0.8985,2,1,0,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,26,1,300,311,300,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,2.785693,0.232141,0.224194,0.243267,1,0.25,23161,23161,23161.0,23161.0,12,6.4573,3.083,7.402,0.7915,3,1,1,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,26,1,300,311,300,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,8,8.01781,0.668151,0.679512,0.652246,1,0.666667,70199,62099,70199.0,62099.0,12,5.5117,3.205,7.341,0.6023,7,1,2,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,27,1,312,323,312,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.095838,0.09132,0.104487,0.072886,1,0.0,9948,7531,9948.0,7531.0,12,6.926,5.274,7.3,0.8852,0,0,0,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,27,1,312,323,312,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,2,2.941476,0.245123,0.243267,0.247721,1,0.166667,23161,25596,23161.0,25596.0,12,6.0187,3.072,7.283,0.7037,6,4,0,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,27,1,312,323,312,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,7.962686,0.663557,0.652246,0.679393,1,0.833333,62099,70199,62099.0,70199.0,12,5.5922,4.09,7.265,0.6184,6,0,4,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,28,1,324,335,324,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,0.891183,0.074265,0.072886,0.076196,1,0.0,7531,8243,7531.0,8243.0,12,6.9283,4.254,7.383,0.8857,1,1,0,4,4,0
run3-tbt-5s,1,continentale,5,none,true,12,28,1,324,335,324,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,3.039358,0.25328,0.247721,0.261062,1,0.25,25596,28242,25596.0,28242.0,12,6.1785,3.585,7.317,0.7357,3,1,1,4,4,0
run3-tbt-5s,1,continentale,5,none,true,12,28,1,324,335,324,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,9,8.069459,0.672455,0.679393,0.662741,1,0.75,70199,71696,70199.0,71696.0,12,4.9399,2.547,6.585,0.488,8,1,2,4,4,0
run3-tbt-5s,1,continentale,5,none,true,12,29,1,336,347,336,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,2,1.021932,0.085161,0.076196,0.097711,1,0.166667,8243,9948,8243.0,9948.0,12,6.5105,2.55,7.4,0.8021,2,0,0,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,29,1,336,347,336,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,2.964899,0.247075,0.261062,0.227492,1,0.25,28242,23161,28242.0,23161.0,12,6.6789,5.477,7.361,0.8358,3,1,1,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,29,1,336,347,336,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,7,8.013169,0.667764,0.662741,0.674796,1,0.583333,71696,68701,71696.0,68701.0,12,5.5302,3.423,6.998,0.606,7,1,1,4,5,0
run3-tbt-5s,1,continentale,5,none,true,12,30,1,348,359,348,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.154281,0.09619,0.097711,0.09406,1,0.0,9948,9948,9948.0,9948.0,12,6.8802,5.062,7.383,0.876,1,1,0,3,3,0
run3-tbt-5s,1,continentale,5,none,true,12,30,1,348,359,348,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,1,2.80342,0.233618,0.227492,0.242195,1,0.083333,23161,25615,23161.0,25615.0,12,6.4095,3.404,7.383,0.7819,2,1,0,3,3,0
run3-tbt-5s,1,continentale,5,none,true,12,30,1,348,359,348,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,11,8.042298,0.670192,0.674796,0.663745,1,0.916667,68701,70199,68701.0,70199.0,12,4.7786,2.729,7.258,0.4557,9,0,2,3,3,0
