height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
573,002cdc6ff0a23b64293faa408a8c41989776f092e0a34711fd1ae1ebc8eeda20,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690896,6,25,6,0
574,007c569b99b561b82f4c112b8603d1467813029ecfd8886771a29f998a5e94c0,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690902,4,24,6,0
575,00e9400884a9b32321a4b5cc0e6219e53ed0a1774572e9a60716bb257d862c99,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690911,3,23,6,0
576,000aa5199d7ea46fbff684effd3d5fc2adfb336bb19f6bf510eb1abcc4db69b1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690920,5,22,6,0
577,009b0222486694c85bdb85c69299203ce066e4e948bb19284c45f96dd7fea6f1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690934,5,21,6,0
578,002b44a89636ee0a3bb12123df0d9de0be81f55586939b64c6af7920096d0ea6,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690944,6,20,6,0
579,0064f3c664e1a2881392de6cebed11bfd3da6d258cce890c3fbfedb3c8e8db8c,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690952,4,19,6,0
580,004f799f39aa224cd2c460b76df18499413ca99a00be577f60391737c939cfce,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690961,3,18,6,0
581,00d2d47e88636d7b2a4fd9b44fd60adab9bf8ef8a9f4ebb4444416bf92f84ff9,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690977,7,17,6,0
582,0022e8025501afef80993f384f5172f69e39c2ed432541d23a20b6210fd1a6d4,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690984,4,16,6,0
583,004b9bda41433399e38a795e3fee7605c423e95552783b394c53cf38337d68ef,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690996,4,15,6,0
584,009a5123c5ef8a2ec52093883e15bc1d45faaa64e6c3bc5390db7788b21602ba,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946691005,5,14,6,0
585,00efefb57e00ad78615521b2e0f70a3ae1bb215aa5c36547b8ade57e3f1881f6,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946691011,3,13,6,0
