height,host,seq,txid_or_error
74,c2,34,55f86d37b9dd95f54c730943e5f91829220520719d354f5d6b92ffbe26a6d636
74,c5,17,ff4dc1de188c2236307fba720a0776c9254dcc7c7d8d5a8f4ff2127c8e14673e
74,c4,21,ec896897fe3b58b46f6533fbb995d40934ce8d56d0481e1ee3fee3bc07974ed6
74,c3,26,dba27a5b0c50f6b631f9317f6314a7e139e0500b57456ff5d1f33879bc5f8255
74,c1,51,29b7449e0795a3489c847b3cd5c5894c4650b127f636f823b8b522b54555f3ae
74,c2,35,8b2eab9d0b046206d3ec2db81ee7e63a98dfc8c0b862a7560c1fe965877e38a6
74,c1,52,b07302458c89f36c09853f494d96c8ab2d4250f6c6df0534517dfd7b19d44a2c
75,c3,27,13fde331308ddb25f86c1b8234333c434d858fba70988e7a7e378aff4916bfa8
75,c1,53,3f6c50aacad51ac13524bb61091ab4287eded438b13cfc947d04e1b96f5e050e
75,c4,22,59caaf984a7f000097b34535de1f3d0caafcf6157b0aeac70bae5ca85bccedbb
75,c2,36,fb61f81442cdfa477e3da3a6beca12f0a3b9eff4832b2b7a837c961e51da85ba
75,c1,54,ee1c7ec76faed5802ebed36ccbc3bcf2f4fb03fe452f6f615330c0bb72783f76
76,c5,18,09086d98b15c31740403e48179b6fddf39054bf52dc505924d59c599c36e9cbb
76,c3,28,f000fbae4fed7575d75a253351286086260a201052cb1429764a230bbe846f62
76,c2,37,38f311930ea1bc33d364b1dd971867100585be9397d67008c6e01717af578f9f
76,c1,55,73f7c888350688eda8f1d0c276d7d9cdd7b4e73cd7fb5692579720c77abc42d4
77,c4,23,6f10b48afdbd2ea11cf2bc94512dc71f1cee089ef1aafdcb81e4156b6e1f4723
77,c1,56,31fc8b3e8e12bcc0d4ab58b13e34f6adfc5e89072f2ef04af8f674fbb633f2e3
77,c2,38,b32be21d657d347fbc35d803dab7084eeb465541acd905555fd1ed8db2044aa6
77,c3,29,e74624722e00a370a0b93541bf1d05c2a4c2517cbfb684ba8ad157487654b3ea
77,c1,57,7a69f0d5d30ca4bcb8b227b726822279e9f86d063fa37b30b7c9ef2787f09294
78,c5,19,40d7dc6cbfe87cc5d6d6472c52dbe4fb502cc3c1be6b080a0549cb5f226bb841
78,c2,39,c1a29080c5f307532ccb062851236850f4f53fa7dccf53a3a5bc9c074085763d
78,c1,58,ff01cc9a5832bf341d0baa9a2daa8e4eab3da7cd6f68a2acf63cd047ef985072
78,c4,24,94ff6c492a5713239844c98b134c8e525da9a89adeb27d67dca8d987ec80244a
79,c3,30,3d9f4754408dcc7ac5dafad7039f328b26f5300262c5592d1bdc82270901de09
79,c1,59,1c1789de37e6235aaba32f67868017425fa70347f8a66023fc07c542bf45430c
79,c2,40,40303970f781f7f62b041bd8efc756f4213c820dfd28c2711868fabb858e97c0
80,c1,60,cc686a6a7ca7569846479c1ad3db3c76a1a0f20a195074904869e156754caf13
80,c5,20,19a5fd8c5f7d77fd86933d89069790d6df38e8630ae76fb05d549a8f9192c5c0
81,c4,25,03da4124be755595e79ff5b59fcb6be21f382ac6247408510f6b71704a7b53f2
81,c3,31,4a7c6aecf9a377ca9f8acdd35a64dbf76affc286507e2f3f2046972d7600288f
81,c2,41,80be3a7d38925f84bdc0c4b9a541c860af5580741fa212fc98dc180a730753ac
81,c1,61,2fdf63f15b13e2fe39fabe5445450ff3e829889e44a363d3e09d5ae44dfad95b
82,c1,62,c5e1430695b0f9659899ff4699b412710c391055f09a61e06be0aa0c354f01ff
82,c2,42,c05745e3fb80a03c3718f98d4a313d112f11d2d59e4851574f3c568e03f929dc
82,c3,32,b86b650defa018a2811a32b1764dc8a43c79e867a6db9ae0fdae5f873b6c3999
82,c1,63,70e0f15f6a08ebac01f4047f5278f8155197702928987705b95a9fba6057e951
83,c5,21,8575b107bac910f69d20673f4e57b4529603558353129d6fb8a498db135e29a8
83,c4,26,4bb7506fe33abe653eccb53479c8ee2fc663de619dc3f1fe49f53d7de3cb690d
83,c2,43,87b2100af5b4c8c096c6d6519a75b298bf74a8313ae88de943aba445c7cbdd51
83,c1,64,5fabdf5b42b690830d7da604bacbc765c7517668f84d4ed97c9795db3843d524
84,c3,33,be406f75708ee8326363f71e2174922ee6614349e0be96f2bc72bb00ac694996
84,c1,65,d60bf1315425387459cb162394b088e6d806ef8374259f61ed44fc3df6ceffa1
84,c2,44,be9353be92c430e16d736ecb617f46d81584a3732fbcd241e7abb19e3d43ef96
85,c4,27,a77ebc78e4e8e9321ee1b331263cd683f4de35aa3d9916416bc18711128e31cd
85,c1,66,3ba68c4d6c76c691d9897c5654b6f211723493e72390babd66e84e65007ff145
86,c5,22,23576b117ae35fd3db5f4e1d91ac30a42f0acee1e213bd36688ab6efba62b8fa
86,c3,34,80364641c38170c83c714e3e50bb547e42097d46ba3a500f0d4dcb5370990129
86,c2,45,e9cbff3cf0738120b3e95f481dfc3248508659fa694d8faec257558850216af3
86,c1,67,0f6e49dbc1aef165ef17b178e0fa1cc92015adcdd4ecb564a4c3eda2f304b4d5
87,c1,68,89f7edfc88189af83ac1b6b00e833527a883a9fbbaa07f87957d6a64ad6530a2
87,c4,28,44b4dd0fcaa565f79593d01d3cbe03ff065e4c09adb2002c6e0fbc3ded8cd391
87,c2,46,a860276e8c91a322ae680d65ee0722261e50c5c6cfdd3a3ac8cea6876d5eaf1f
87,c3,35,8c28060dba4dac999f8fa4aa3d3818e2956865b4caccc75133e6998ef42abfb5
87,c1,69,09e930012d7552f84f4ae2644ab6bb6cbf9dbb13dbfa7f10883d4808be095042
88,c5,23,ef82e24d15fd174f55f4d8a14bcea44dbd1c71f4441f85846a744807d244fa18
88,c2,47,5499f4bee2137cf342accd341d45cf8e38bc78a5c4dc6ad6c6fe8a2f9134b9eb
88,c1,70,57853ef5ef684951b714c6798c37b11efb9955e60ef1345a82b1ba6775cda151
89,c4,29,1e7e3df9cab1427ec96803a73faf89c6f25c9a161626c6684d0e1f49d69a08ed
89,c3,36,dbaf994382b3c031fdadd1028f25fe7f1e0010c16c0c313d53f00817c5e1755f
89,c1,71,15ed495888df17ff85606f1798a092667ba21f6a916bbfa85ef2621e1e362487
89,c2,48,186bc2488f70cbe8df198fce586dd85cd485ba3ec42b519394fbf17da5f0379a
89,c1,72,d7ffec9b86cd4c149986a497830673478c7f88736a6048808ea08929584bcb7f
90,c5,24,6b2cd27aff30248bc0d1b53e99a6d41e1cc38575f8b4257f7a7bbc79d8d7b0b8
90,c3,37,0d3ba017fbbae6f4a75d076c3c2d015b13cc6ff2b4b03c62608e9120637afd73
90,c2,49,90ae6b34e2b81eb72d8fd0f505d1f78494ed774e21c5ca9294809cd86c456152
90,c1,73,b041f5b94745ee2f5b44274d62ad4ea7090bb25c0230c24924f91d2d4d487dcf
90,c4,30,370dfa6603c47c145d7e7fd8c8ca03ebb21f15de4f09467d5a625ef3fade2448
91,c1,74,c571e5ae43c49bdc5b11ce1eed5e26e902080a8faf3bcde51e92877ea59df6bb
92,c2,50,b4ce53cb35469125782fbb8c67ee1c6995566e0c1615cc86ffa885ce4272c6ae
92,c3,38,4dff93533f8bd6b228bd31761c370e2b53b5dee7b07f68d222cffa6ee2be290c
92,c1,75,960e48387d467a78cab0de72a66570d280d392b57065171ea21a09be2b12d6ee
92,c5,25,96b5fd19d7494e347e5c6eb6843f7889423b72f4c37332a07bc80d5b487a627f
92,c4,31,e2beb59c9f1b36ba1049232cda41bc5934e4e15d798ba745997ab03a5c96c8ca
92,c2,51,2c8ed0465837f294854744c96f58167e976b73105cb794913d5f50b8537a62af
92,c1,76,0a6a9d54ae6b470308eef3263bf98434bd5bd65f2ca53b10b74cb5b35ab1f521
93,c3,39,6ce0a67bbe78bec1855d11a90a3d5ba8354d96893a3eac9dcf347e6c7c35e0cd
94,c1,77,e18380def17f9c6337fb469b8666e3261d700bebff2fb31be43e0a6a66c2322e
94,c2,52,80fe7963dd0acb529713a67a2c705c3e13f1515112f4842eae1d73f9db8ad7e3
94,c1,78,4825c229bc3dc55874321835ebee4f5151a5214aec14352f1513485d9388a054
95,c4,32,6e84bd23577fe502fb09bc3f9f01acbdbce0c4af62de5b696cf8d23be7d091e4
95,c3,40,2b66c2ee76800ba2aa66f5d1314820efdb78c9173725c23ab80f45a2ed016eaf
95,c2,53,6a9e9a4f0f009ae3fd9a3735b056366fe650d7bb940bf1d7278ea3761ca31c33
95,c1,79,7a8ab526a7d3e99e3b7a1a865452a513648dad56f5073513f4572cd52230c56c
95,c5,26,a0743220a72a77ade86c09d44090482e6dfb2382793b0bcacbc5a2fe83a4c181
96,c1,80,48b05e746bdd7530a46131b569fd00ccceb1e56ccf055b8bb890572905b146e6
97,c2,54,a2fea0123fb2444e36edc397863c3ad3c0bb2097624ea1137e13311c0f351995
97,c4,33,c4b3c883d246a963e3ce76f0a92c7df33220239d58ba3637cde1c2f837e3eb70
97,c3,41,10364d94e529142fd795cc47eb89008ea24f4ed48f8b28fc3b7adb63840abcff
97,c1,81,01410400e77154350df3d1d61797a6234ed58c2305473c1df9b0f9f80de03358
98,c2,55,1f4e06990ed0ed1746d14a8dd060cebb03236f243cfd4051c7e5035075373e2c
98,c1,82,7a7df2a646c03c711ffc6b88dd387de9a2c2315956d9ea58899a90493fd073c3
98,c5,27,8bd17588061e552ac59caa3b2af1681f9d1dce0b5d17d9f99838149d264064da
98,c3,42,97e0a96da102b6d1e105ce143b49ed64a7b728b36f2d41272224aa6e8244e617
98,c1,83,207e4ad4c556970652e5ac21d6c87824342e48a2249be2c2ca5915983a630317
99,c4,34,103ad6f7b18fa95188feeb9e04fb1f83ef2c78e165ca00fdf1a194a2bfb6adc1
99,c2,56,85c7249621f201ab03af2b4212bb9064febeae5c55523424d6534082cbb714db
99,c1,84,6706e3c9485653fcb35c9765a1aa0bc625c6bf3614f51d238db50a64b707b1a5
100,c3,43,5cc47106f821aa2d573c33b5b3cb771dd22900b23b4dc9f09ccdccd53c4b8bce
100,c2,57,ac3baa2a84dc2a6174ce1b70b7bdfd13ae7b9afd5df9100fa90d2371c4d27567
100,c1,85,ed8a45f45f884a68e6717adafc0d0439745bd96acd1ab1ea683b18e27f96aa81
100,c5,28,6101e013dcdb0f075fa816ef2acb4ee82483d1d9b1274ff809f2bb2dd36becf9
100,c4,35,e1938070123ded4ff63375d87a6aa66523c03379f28df61bf324a27e85df1f6b
100,c1,86,dbcd3ebb5b4eab5d709a6e9507ceb6ffe664f44dac8e796faea07ecdb49020ac
101,c2,58,2b59908ba2f0234b7a2a5374aa3e5cdd34a77165959b6836a38bc6e38f02b807
101,c3,44,16dfebfc9c9c7d74472a20e8e061d7192742092922c727f69afeba182568989e
101,c1,87,d9d812cf54b8cf637620d03deeea0cfe595dab54552dc687806065134f981af3
101,c2,59,d2c848bba642e9c28bd27bee69515395a9cb7820b6b8c3d9a0754a67f90f7666
102,c1,88,d3bad78fd99bccab29b9dc838331fd3c97e029ab29a71624cfb7a9f6c980356d
102,c5,29,0b39eb1fd7474a27b4b59bbc1d72c711dd87a3f510c4a3d26bae5eccb7f0a2af
102,c4,36,20dff048154c24ab5d66f68fcd061be420ad73d677bdcc0d25d7a97079569132
102,c3,45,f1933d846fbea97a437ed1f98b3d95368268dc692bdfa72cf9f3563a22905a6b
102,c1,89,bbba19878eeaa24bb27ef66bc297ebf5ceeaa1d30ba91a4d5cf3fbe42a19c8a1
102,c2,60,56d937425e1f024fd5b8e9882071f062a62d078f637840669bb0c4c249ded8bb
103,c1,90,71e2ade522c8e5b0ed6728a8ba21df2d34d983083dc254784f6f4e2814b02066
104,c4,37,bcb164ef665cab66aa3319e30d3aebfb5584684ae0a1e9fdcfc3ac70ce58fb1e
104,c3,46,7bc287368f56885f3e103952aa34862799ed5aaee0712fa7e170aa41f96ae3ac
104,c2,61,2892c48185d0bad7378f70557dd66ff858a44ea80133c6d8f55a7e9a4420bb0d
104,c1,91,f8c4bdcc7ea2e01d9df2a879a5abdf69dac76916e5cc45e3ddaba1ab746df883
104,c5,30,c9df9d9a641e7642c31a8763989fc37e35fa5d37bb62ae7ee08475851234c311
104,c1,92,e85dbd4f900b53596d6d739414a70ac213dd84e54769938c4163eceb7296f8a7
105,c2,62,a2836272053b60bc2c153dcee7a41fbb9aa69237b04821c59eb98c97ed248d09
105,c3,47,0c6aff5928ef936b1303e804b510a36a9fa7bf156b5d5a559d157f971edf2b20
105,c1,93,6f797744493c8798f565f46abb8727b86e76cfd9c013824d3a9b33a9dcec3f40
105,c4,38,e81dd516e3d47eb371056a1dea1f2078f37cd76759586d33736438f760bd2143
105,c2,63,fc926822c078d404d3764c27c458ddf94d689867ebef198d48a8d584327b592b
105,c1,94,0f4bcb8919bafd4245434c296f70fe0005eff7263441b504ea0f6d01b6d20731
106,c5,31,1caf594e56f5dfb4231fe0e7d6a0b95094e3d68b86abd1f5b1f951d307cd8808
106,c3,48,a510596d528b12d19763130ffa4507bb1a4dd578fccc35b6f7150ec5d06de53d
106,c1,95,ad548d7040fecc357619938f6f6d7679a723ec4d014ddae845f27acd97c5dab8
107,c2,64,3c40a41766fbd8dd8d396aa80299b122ebe0356f2006f85b5dfafbcd93e82c31
107,c4,39,45d8172fd6494a9c2d3d8df144b683534f54e5352577cdebf4db7037df9188cf
107,c1,96,a1d0d6c35ce564f73e34d840891384b73e023d647cb45b6936a0f453782450fd
108,c3,49,da66f6c76db2c47e42c11ed1100d5b37e02285aa835cd69a9d4530c1e193f825
