sample_height,host,balance_gas
80,c4,98.55
80,c5,98.7724
80,m1,106.8545
80,m2,23.7642
80,m3,44.3237
80,ca,49.3564
82,c1,96.4316
82,c2,97.5462
82,c3,98.105
82,c4,98.4384
82,c5,98.7166
82,m1,106.8545
82,m2,23.8758
82,m3,44.3237
82,ca,49.3564
86,c1,96.2084
86,c2,97.4348
86,c3,97.9934
86,c4,98.3826
86,c5,98.6608
86,m1,107.1891
86,m2,24.0988
86,m3,44.6585
86,ca,49.3564
88,c1,95.9856
88,c2,97.2676
88,c3,97.8818
88,c4,98.2712
88,c5,98.605
88,m1,107.1891
88,m2,24.0988
88,m3,45.0485
88,ca,49.3564
92,c1,95.8182
92,c2,97.156
92,c3,97.8262
92,c4,98.2154
92,c5,98.4934
92,m1,107.4121
92,m2,24.0988
92,m3,45.7177
92,ca,49.3564
95,c1,95.5952
95,c2,96.989
95,c3,97.7146
95,c4,98.1038
95,c5,98.4378
95,m1,107.6351
95,m2,24.0988
95,m3,46.0525
95,ca,49.3564
98,c1,95.372
98,c2,96.822
98,c3,97.603
98,c4,98.0482
98,c5,98.382
98,m1,107.6351
98,m2,24.0988
98,m3,46.3867
98,ca,49.3564
101,c1,95.149
101,c2,96.7102
101,c3,97.4912
101,c4,97.9364
101,c5,98.3264
101,m1,7.1482
101,m2,10.7945
101,m3,37.4642
101,ca,49.3564
104,c1,94.9254
104,c2,96.5426
104,c3,97.3792
104,c4,97.8804
104,c5,98.2704
104,m1,107.2942
104,m2,110.7945
104,m3,37.4642
104,ca,49.3564
107,c1,94.7578
107,c2,96.4306
107,c3,97.2672
107,c4,97.7684
107,c5,98.1586
107,m1,107.1884
107,m2,111.1921
107,m3,37.3584
107,ca,49.3564
110,c1,94.5338
110,c2,96.2626
110,c3,97.1552
110,c4,97.7124
110,c5,98.1026
110,m1,107.5244
110,m2,111.1921
110,m3,37.3584
110,ca,49.3564
113,c1,94.31
113,c2,96.1506
113,c3,97.0432
113,c4,97.6004
113,c5,98.0466
113,m1,107.9164
113,m2,111.1921
113,m3,37.3584
113,ca,49.3564
116,c1,94.0854
116,c2,95.9828
116,c3,96.9312
116,c4,97.5446
116,c5,97.9906
116,m1,107.9164
116,m2,111.6403
116,m3,37.3584
116,ca,49.3564
119,c1,93.861
119,c2,95.8708
119,c3,96.8192
119,c4,97.4328
119,c5,97.9346
119,m1,107.9164
119,m2,112.1445
119,m3,37.3584
119,ca,49.3564
122,c1,93.6924
122,c2,95.7028
122,c3,96.7634
122,c4,97.3768
122,c5,97.8228
122,m1,108.5888
122,m2,112.1445
122,m3,37.3584
122,ca,49.3564
125,c1,93.4678
125,c2,95.5908
125,c3,96.6516
125,c4,97.265
125,c5,97.7668
125,m1,108.5888
125,m2,112.1445
125,m3,37.639
125,ca,49.3564
128,c1,93.2432
128,c2,95.423
128,c3,96.5398
128,c4,97.209
128,c5,97.7108
128,m1,108.5888
128,m2,112.1445
128,m3,37.919
128,ca,49.3564
131,c1,93.0184
131,c2,95.311
131,c3,96.4278
131,c4,97.097
131,c5,97.6548
131,m1,108.5888
131,m2,112.1445
131,m3,38.143
131,ca,49.3564
134,c1,92.8498
134,c2,95.143
134,c3,96.316
134,c4,97.041
134,c5,97.5988
134,m1,108.9252
134,m2,112.1445
134,m3,38.143
134,ca,49.3564
137,c1,92.6252
137,c2,95.0312
137,c3,96.2042
137,c4,96.929
137,c5,97.487
137,m1,108.9252
137,m2,112.1445
137,m3,38.5352
137,ca,49.3564
140,c1,92.4004
140,c2,94.8634
140,c3,96.0922
140,c4,96.817
140,c5,97.431
140,m1,108.9252
140,m2,112.1445
140,m3,38.9834
140,ca,49.3564
143,c1,92.1756
143,c2,94.7514
143,c3,95.9806
143,c4,96.761
143,c5,97.375
143,m1,109.0934
143,m2,112.1445
143,m3,39.2636
143,ca,49.3564
146,c1,91.951
146,c2,94.5836
146,c3,95.8686
146,c4,96.6494
146,c5,97.3192
146,m1,109.0934
146,m2,112.3687
146,m3,39.2636
146,ca,49.3564
149,c1,91.7824
149,c2,94.4716
149,c3,95.8128
149,c4,96.5934
149,c5,97.2074
