height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
427,0028c37a91ec785ef285618b62ad3a5e549aa5a9eebb6603caa09b84fa4e9c68,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689264,6,176,5,0
428,0020b476b9ece66e72ccbdd98e0ea24d7025ead9dcdd99a0f5ad15e5879fc772,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689272,5,175,5,0
429,00d3ae96400aa9d54e540bee79545cce4899e79a0555da3b4fda0078cec30e8c,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689288,6,174,5,0
430,0003c3afe6c0a387f7b784676ac0cc9819841af9af8bf9408329919ff4cb5756,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689302,7,173,5,0
431,0094ed46784f8105b13d7e224ad13fa69d9b8697dabaf523a92e7c677a028152,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689316,4,172,5,0
432,00bd81fc0adff26dde3e10e31f340dacc97e7684eee77e3259ec4043af43c8aa,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689324,5,171,5,0
433,00fbed5b92ed419ea4f8728e28afcd8bee4739a706ef79aa71b2aa7e44c7d128,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689338,5,170,5,0
434,00242fd88904f5c8e1da28ad3d3078e301c1d2f4335d6dd9a90308b6e4562e9a,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689351,7,169,5,0
435,008ae20c0a3c2d426f03a0fb422af16b8f0f89c4d9b84d509d77d7ee7aad91ff,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689361,4,168,5,0
436,001f6e645ab573d9e2e4675b81d5361e52d029f858d3c4788461eac5facd22f7,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689368,5,167,5,0
437,001124fe985d946c35dad799f939e875956d43f01da2e0d263e16e6ec951eb40,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689381,5,166,5,0
438,007e5a5ea90359424002715488880b2d8aa8712de90c385b94026c2a6d2eafba,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689394,5,165,5,0
439,00357fd0d44279ef30947e4d86077501ce07c0967d3df8503898c61f2a942165,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689408,6,164,5,0
440,001dd76a38d79be117df96446c5722604097c642894e5b1c539e96b5f5a3f1d4,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689421,6,163,5,0
441,00466ab3ab2373a2bef02e98d96c41f184e140565eaa62b9668e03dca3f18011,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689427,3,162,5,0
442,00fb0a9b162d67c04542f8029767adedf6b594a96d59c993f55edffd0ab1b868,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689441,6,161,5,0
