tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
200,201,m1,12,10.833,10.000,-0.833,5.000,2000-01-01 00:33:43,3,run/data/m1/debug.log,8696
200,201,m2,12,10.833,10.000,-0.833,5.000,2000-01-01 00:33:44,3,run/data/m2/debug.log,4018
200,201,m3,12,10.833,10.000,-0.833,5.000,2000-01-01 00:33:44,3,run/data/m3/debug.log,2831
201,202,admin,12,11.167,10.000,-1.167,5.000,2000-01-01 00:34:07,2,run/data/admin/debug.log,1553
201,202,m1,12,11.167,10.000,-1.167,5.000,2000-01-01 00:33:54,3,run/data/m1/debug.log,8931
201,202,m2,12,11.167,10.000,-1.167,5.000,2000-01-01 00:33:55,3,run/data/m2/debug.log,4034
201,202,m3,12,11.167,10.000,-1.167,5.000,2000-01-01 00:33:56,3,run/data/m3/debug.log,2847
202,203,admin,12,11.417,10.000,-1.417,5.000,2000-01-01 00:34:15,2,run/data/admin/debug.log,1567
202,203,m1,12,11.417,10.000,-1.417,5.000,2000-01-01 00:34:06,3,run/data/m1/debug.log,9631
202,203,m2,12,11.417,10.000,-1.417,5.000,2000-01-01 00:34:07,3,run/data/m2/debug.log,4049
202,203,m3,12,11.417,10.000,-1.417,5.000,2000-01-01 00:34:07,3,run/data/m3/debug.log,2862
203,204,admin,12,11.083,10.000,-1.083,5.000,2000-01-01 00:34:23,2,run/data/admin/debug.log,1582
203,204,m1,12,11.083,10.000,-1.083,5.000,2000-01-01 00:34:14,3,run/data/m1/debug.log,9775
203,204,m2,12,11.083,10.000,-1.083,5.000,2000-01-01 00:34:15,3,run/data/m2/debug.log,4064
203,204,m3,12,11.083,10.000,-1.083,5.000,2000-01-01 00:34:15,3,run/data/m3/debug.log,2877
204,205,admin,12,10.917,10.000,-0.917,5.000,2000-01-01 00:34:34,2,run/data/admin/debug.log,1596
204,205,m1,12,10.917,10.000,-0.917,5.000,2000-01-01 00:34:23,3,run/data/m1/debug.log,10049
204,205,m2,12,10.917,10.000,-0.917,5.000,2000-01-01 00:34:24,3,run/data/m2/debug.log,4079
204,205,m3,12,10.917,10.000,-0.917,5.000,2000-01-01 00:34:23,3,run/data/m3/debug.log,2892
205,206,admin,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:44,2,run/data/admin/debug.log,1611
205,206,m1,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:34,3,run/data/m1/debug.log,10067
205,206,m2,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:35,3,run/data/m2/debug.log,4097
205,206,m3,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:33,3,run/data/m3/debug.log,3144
206,207,admin,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:56,5,run/data/admin/debug.log,1625
206,207,m1,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:44,6,run/data/m1/debug.log,10087
206,207,m2,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:45,6,run/data/m2/debug.log,4117
206,207,m3,12,10.500,10.000,-0.500,5.000,2000-01-01 00:34:43,6,run/data/m3/debug.log,3743
207,208,admin,12,10.250,10.000,-0.250,5.000,2000-01-01 00:35:08,2,run/data/admin/debug.log,1655
207,208,m1,12,10.250,10.000,-0.250,5.000,2000-01-01 00:34:56,3,run/data/m1/debug.log,10172
