sample_height,host,balance_gas
425,c4,96.699
425,c5,97.3146
425,m1,7.611
425,m2,9.6314
425,m3,49.1248
425,ca,49.356
432,c1,91.878
432,c2,94.5168
432,c3,95.8602
432,c4,96.6432
432,c5,97.2586
432,m1,108.7464
432,m2,109.5258
432,m3,49.019
432,ca,49.356
441,c1,91.6534
441,c2,94.3492
441,c3,95.7482
441,c4,96.5314
441,c5,97.2026
441,m1,8.0077
441,m2,44.8891
441,m3,39.57
441,ca,49.356
448,c1,91.4286
448,c2,94.2372
448,c3,95.6362
448,c4,96.4754
448,c5,97.1466
448,m1,7.7497
448,m2,19.1104
448,m3,31.8695
448,ca,49.356
457,c1,91.204
457,c2,94.069
457,c3,95.5242
457,c4,96.3636
457,c5,97.0348
457,m1,108.3023
457,m2,119.3908
457,m3,31.8695
457,ca,49.356
465,c1,90.9794
465,c2,93.9566
465,c3,95.4124
465,c4,96.3076
465,c5,96.9788
465,m1,8.2893
465,m2,48.7761
465,m3,25.7744
465,ca,49.356
475,c1,90.7554
475,c2,93.7884
475,c3,95.3004
475,c4,96.1958
475,c5,96.9228
475,m1,7.9185
475,m2,20.5596
475,m3,20.9745
475,ca,49.356
483,c1,90.5868
483,c2,93.6762
483,c3,95.1884
483,c4,96.1398
483,c5,96.8668
483,m1,7.748
483,m2,9.2606
483,m3,17.1344
483,ca,49.356
492,c1,90.3622
492,c2,93.5078
492,c3,95.0768
492,c4,96.0282
492,c5,96.755
492,m1,7.1443
492,m2,44.8168
492,m3,94.0016
492,ca,49.356
500,c1,90.1376
500,c2,93.3394
500,c3,94.965
500,c4,95.9162
500,c5,96.699
500,m1,107.6131
500,m2,45.3688
500,m3,93.9254
500,ca,49.356
508,c1,89.9128
508,c2,93.2274
508,c3,94.8532
508,c4,95.8604
508,c5,96.643
508,m1,7.3367
508,m2,19.6954
508,m3,75.4951
508,ca,49.356
517,c1,89.6882
517,c2,93.0588
517,c3,94.7414
517,c4,95.7486
517,c5,96.587
517,m1,7.0567
517,m2,48.9909
517,m3,60.6787
517,ca,49.356
525,c1,89.4638
525,c2,92.9466
525,c3,94.6294
525,c4,95.6926
525,c5,96.531
525,m1,108.2223
525,m2,48.8851
525,m3,60.6787
525,ca,49.356
533,c1,89.2952
533,c2,92.778
533,c3,94.5736
533,c4,95.5806
533,c5,96.4194
533,m1,7.5069
533,m2,20.6326
533,m3,48.7922
533,ca,49.356
541,c1,89.0708
541,c2,92.6656
541,c3,94.4616
541,c4,95.5248
