tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
174,175,admin,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:28,5,run/data/admin/debug.log,1496
174,175,m1,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:23,6,run/data/m1/debug.log,9176
174,175,m2,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:23,6,run/data/m2/debug.log,4296
174,175,m3,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:25,6,run/data/m3/debug.log,5281
175,176,admin,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:31,2,run/data/admin/debug.log,1526
175,176,m1,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:28,3,run/data/m1/debug.log,9855
175,176,m2,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:28,3,run/data/m2/debug.log,4403
175,176,m3,12,4.167,3.000,-1.167,1.500,2000-01-01 00:09:29,3,run/data/m3/debug.log,5312
176,177,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:35,2,run/data/admin/debug.log,1540
176,177,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:31,3,run/data/m1/debug.log,9893
176,177,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:30,3,run/data/m2/debug.log,4892
176,177,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:31,3,run/data/m3/debug.log,5334
177,178,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:39,2,run/data/admin/debug.log,1554
177,178,m1,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:36,3,run/data/m1/debug.log,9908
177,178,m2,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:35,3,run/data/m2/debug.log,5273
177,178,m3,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:36,3,run/data/m3/debug.log,5349
178,179,admin,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:42,2,run/data/admin/debug.log,1568
178,179,m1,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:40,3,run/data/m1/debug.log,9923
178,179,m2,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:39,3,run/data/m2/debug.log,5645
178,179,m3,12,4.083,3.000,-1.083,1.500,2000-01-01 00:09:40,3,run/data/m3/debug.log,5364
179,180,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:47,2,run/data/admin/debug.log,1582
179,180,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:43,3,run/data/m1/debug.log,9938
179,180,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:42,3,run/data/m2/debug.log,5837
179,180,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:43,3,run/data/m3/debug.log,5379
180,181,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:51,2,run/data/admin/debug.log,1596
180,181,m1,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:48,3,run/data/m1/debug.log,9953
180,181,m2,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:47,3,run/data/m2/debug.log,5965
180,181,m3,12,4.000,3.000,-1.000,1.500,2000-01-01 00:09:48,3,run/data/m3/debug.log,5394
181,182,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:56,5,run/data/admin/debug.log,1610
181,182,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:52,6,run/data/m1/debug.log,9969
181,182,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:51,6,run/data/m2/debug.log,6073
181,182,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:52,6,run/data/m3/debug.log,5410
182,183,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:00,9,run/data/admin/debug.log,1643
182,183,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:57,10,run/data/m1/debug.log,10000
