height,host,balance
79,c4,97.3232
79,c5,97.8248
79,m1,108.5739
79,m2,23.0802
79,m3,96.3668
79,ca,49.3568
81,c1,93.4182
81,c2,95.5388
81,c3,96.598
81,c4,97.2674
81,c5,97.769
81,m1,108.9087
81,m2,23.0802
81,m3,96.3668
81,ca,49.3568
84,c1,93.2506
84,c2,95.4274
84,c3,96.5422
84,c4,97.156
84,c5,97.7134
84,m1,109.8575
84,m2,10.0625
84,m3,96.3668
84,ca,49.3568
85,c1,93.0268
85,c2,95.2602
85,c3,96.4308
85,c4,97.1002
85,c5,97.6576
85,m1,7.1413
85,m2,110.1739
85,m3,77.212
85,ca,49.3568
87,c1,92.8032
87,c2,95.1488
87,c3,96.3194
87,c4,96.9886
87,c5,97.546
87,m1,107.1413
87,m2,111.8921
87,m3,77.212
87,ca,49.3568
89,c1,92.5792
89,c2,94.9816
89,c3,96.2078
89,c4,96.933
89,c5,97.4904
89,m1,107.0649
89,m2,112.4297
89,m3,77.136
89,ca,49.3568
91,c1,92.3554
91,c2,94.87
91,c3,96.0962
91,c4,96.8216
91,c5,97.4348
91,m1,107.5169
91,m2,112.8203
91,m3,77.136
91,ca,49.3568
94,c1,92.1874
94,c2,94.7028
94,c3,95.9848
94,c4,96.7658
94,c5,97.3792
94,m1,108.1309
94,m2,113.0435
94,m3,77.136
94,ca,49.3568
95,c1,91.9634
95,c2,94.5914
95,c3,95.8732
95,c4,96.6542
95,c5,97.2676
95,m1,108.2985
95,m2,113.0435
95,m3,77.136
95,ca,49.3568
97,c1,91.7398
97,c2,94.4244
97,c3,95.7616
97,c4,96.5984
97,c5,97.2118
97,m1,7.1472
97,m2,46.8192
97,m3,62.0636
97,ca,49.3568
99,c1,91.516
99,c2,94.3128
99,c3,95.6502
99,c4,96.4868
99,c5,97.156
99,m1,108.0892
99,m2,46.8192
99,m3,62.0636
99,ca,49.3568
101,c1,91.348
101,c2,94.1444
101,c3,95.5382
101,c4,96.4308
101,c5,97.1
101,m1,108.4034
101,m2,46.9368
101,m3,61.9582
101,ca,49.3568
103,c1,91.1234
103,c2,94.032
103,c3,95.4822
103,c4,96.319
103,c5,97.0442
103,m1,109.2518
103,m2,46.9368
103,m3,61.9582
103,ca,49.3568
105,c1,90.899
105,c2,93.8636
105,c3,95.3704
105,c4,96.2632
105,c5,96.9324
105,m1,109.2518
105,m2,47.2728
105,m3,62.2948
105,ca,49.3568
106,c1,90.6742
106,c2,93.7512
106,c3,95.2586
106,c4,96.1516
106,c5,96.8766
106,m1,109.7
106,m2,47.2728
106,m3,62.2948
106,ca,49.3568
108,c1,90.4494
108,c2,93.5828
108,c3,95.1466
108,c4,96.0956
108,c5,96.8206
108,m1,7.1078
108,m2,20.0639
108,m3,50.1906
108,ca,49.3568
109,c1,90.2808
109,c2,93.4144
109,c3,95.0348
109,c4,95.9838
109,c5,96.7646
109,m1,107.4444
109,m2,20.0639
109,m3,50.1906
109,ca,49.3568
111,c1,90.0564
111,c2,93.302
111,c3,94.923
111,c4,95.9278
111,c5,96.7086
111,m1,108.788
111,m2,20.5125
111,m3,50.1906
111,ca,49.3568
113,c1,89.8316
113,c2,93.1336
113,c3,94.8112
113,c4,95.816
113,c5,96.5966
113,m1,109.5232
113,m2,19.9875
113,m3,50.1146
113,ca,49.3568
115,c1,89.6068
115,c2,93.0212
115,c3,94.6996
115,c4,95.7602
115,c5,96.5408
115,m1,110.499
115,m2,119.9875
115,m3,50.1146
115,ca,49.3568
117,c1,89.3822
117,c2,92.8526
117,c3,94.5878
117,c4,95.6484
117,c5,96.485
