height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
92,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.44595887e-06,6.943,6.943,2000-01-01 00:15:29,0,run/data/m2/debug.log,3349
92,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,6.64681083e-05,14.850,14.850,2000-01-01 00:15:28,0,run/data/m3/debug.log,1145
93,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,4.27526332e-06,9.856,9.856,2000-01-01 00:15:38,0,run/data/m1/debug.log,5468
93,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,7.92081396e-05,14.850,14.850,2000-01-01 00:15:36,0,run/data/m2/debug.log,3422
93,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,0.000137345363,14.850,14.850,2000-01-01 00:15:37,0,run/data/m3/debug.log,1160
94,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,8.54745853e-06,12.389,12.389,2000-01-01 00:15:47,0,run/data/m1/debug.log,5515
94,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,0.000102520381,14.883,14.883,2000-01-01 00:15:48,0,run/data/m2/debug.log,3437
94,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,3.46918062e-05,14.848,14.848,2000-01-01 00:15:48,0,run/data/m3/debug.log,1175
95,8,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,2.9572303e-06,8.681,8.681,2000-01-01 00:16:01,0,run/data/m1/debug.log,5596
95,8,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.25032798e-05,13.555,13.555,2000-01-01 00:16:02,0,run/data/m2/debug.log,3452
95,8,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,5.88440282e-05,14.866,14.866,2000-01-01 00:16:01,0,run/data/m3/debug.log,1190
96,9,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,5.96933052e-06,11.074,11.074,2000-01-01 00:16:09,0,run/data/m1/debug.log,5681
