sample_height,host,balance_gas
294,c4,92.0554
294,c5,93.6254
294,m1,107.8246
294,m2,110.0199
294,m3,117.1278
294,ca,49.3572
296,c1,80.1604
296,c2,86.7256
296,c3,89.977
296,c4,91.943
296,c5,93.513
296,m1,108.347
296,m2,110.1885
296,m3,117.1278
296,ca,49.3572
299,c1,79.9918
299,c2,86.5574
299,c3,89.8646
299,c4,91.8868
299,c5,93.4568
299,m1,108.5714
299,m2,110.7503
299,m3,117.1278
299,ca,49.3572
301,c1,79.767
301,c2,86.445
301,c3,89.8084
301,c4,91.7744
301,c5,93.4006
301,m1,7.0766
301,m2,45.826
301,m3,94.057
301,ca,49.3572
304,c1,79.5424
304,c2,86.2766
304,c3,89.696
304,c4,91.7184
304,c5,93.3444
304,m1,107.4136
304,m2,46.7752
304,m3,94.057
304,ca,49.3572
307,c1,79.3178
307,c2,86.1644
307,c3,89.5838
307,c4,91.6062
307,c5,93.2882
307,m1,108.1864
307,m2,46.669
307,m3,93.9518
307,ca,49.3572
310,c1,79.0934
310,c2,85.9962
310,c3,89.4714
310,c4,91.55
310,c5,93.1758
310,m1,108.6352
310,m2,46.669
310,m3,93.9518
310,ca,49.3572
313,c1,78.925
313,c2,85.8838
313,c3,89.359
313,c4,91.4376
313,c5,93.1196
313,m1,7.032
313,m2,20.1705
313,m3,75.5164
313,ca,49.3572
315,c1,78.7004
315,c2,85.7154
315,c3,89.2466
315,c4,91.3814
315,c5,93.0634
315,m1,107.3018
315,m2,20.8527
315,m3,75.5164
315,ca,49.3572
318,c1,78.4758
318,c2,85.603
318,c3,89.1344
318,c4,91.2692
318,c5,93.0074
318,m1,107.9258
318,m2,20.8527
318,m3,75.4406
318,ca,49.3572
321,c1,78.2514
321,c2,85.4344
321,c3,89.022
321,c4,91.213
321,c5,92.9512
321,m1,108.669
321,m2,20.8527
321,m3,75.4406
321,ca,49.3572
324,c1,78.083
324,c2,85.322
324,c3,88.91
324,c4,91.1008
324,c5,92.8388
324,m1,109.3428
324,m2,20.8527
324,m3,75.4406
324,ca,49.3572
326,c1,77.8586
326,c2,85.1536
326,c3,88.8538
326,c4,91.0446
326,c5,92.7828
326,m1,8.3193
326,m2,9.0827
326,m3,60.7073
326,ca,49.3572
329,c1,77.634
329,c2,85.0412
329,c3,88.7416
329,c4,90.9324
329,c5,92.7266
329,m1,108.6967
329,m2,109.2869
329,m3,60.7073
329,ca,49.3572
332,c1,77.4092
332,c2,84.8726
332,c3,88.6292
332,c4,90.8762
332,c5,92.6704
332,m1,109.3847
332,m2,109.5117
332,m3,60.7073
332,ca,49.3572
335,c1,77.1844
335,c2,84.7602
335,c3,88.5168
335,c4,90.7638
335,c5,92.558
335,m1,109.4971
335,m2,109.5117
335,m3,61.1569
335,ca,49.3572
