experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run5-tbt-2s,intercontinentale,1,2,none,true,36,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,3,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,37,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,5,0,0.0,,5,10
run5-tbt-2s,intercontinentale,1,2,none,true,37,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,4,4,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,37,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,1,0.33333333,,0,2
run5-tbt-2s,intercontinentale,1,2,none,true,38,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,0,0.0,,4,12
run5-tbt-2s,intercontinentale,1,2,none,true,38,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,38,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,39,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,11,0,0.0,,1,12
run5-tbt-2s,intercontinentale,1,2,none,true,39,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,39,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,40,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,6,0,0.0,,4,10
run5-tbt-2s,intercontinentale,1,2,none,true,40,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,40,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,5,3,0.6,,0,2
run5-tbt-2s,intercontinentale,1,2,none,true,41,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,2,0.22222222,,2,9
run5-tbt-2s,intercontinentale,1,2,none,true,41,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,41,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,1,0.5,,2,3
run5-tbt-2s,intercontinentale,1,2,none,true,42,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,6,0.75,,1,3
run5-tbt-2s,intercontinentale,1,2,none,true,42,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,3,1,0.33333333,,6,8
run5-tbt-2s,intercontinentale,1,2,none,true,42,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,0,0.0,,0,1
run5-tbt-2s,intercontinentale,1,2,none,true,43,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,0,0.0,,5,12
run5-tbt-2s,intercontinentale,1,2,none,true,43,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,43,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,5,5,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,44,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,6,3,0.5,,1,4
run5-tbt-2s,intercontinentale,1,2,none,true,44,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,44,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,5,0,0.0,,3,8
run5-tbt-2s,intercontinentale,1,2,none,true,45,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,2,0.28571429,,2,7
run5-tbt-2s,intercontinentale,1,2,none,true,45,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,45,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,1,0.33333333,,3,5
run5-tbt-2s,intercontinentale,1,2,none,true,46,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,4,0.5,,1,5
run5-tbt-2s,intercontinentale,1,2,none,true,46,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,46,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,0,0.0,,5,7
run5-tbt-2s,intercontinentale,1,2,none,true,47,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,0,0.0,,3,12
run5-tbt-2s,intercontinentale,1,2,none,true,47,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,47,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,48,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,1,0.11111111,,2,10
run5-tbt-2s,intercontinentale,1,2,none,true,48,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,48,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,1,0.5,,1,2
run5-tbt-2s,intercontinentale,1,2,none,true,49,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,10,0,0.0,,2,12
run5-tbt-2s,intercontinentale,1,2,none,true,49,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,49,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,50,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,0,0.0,,2,11
run5-tbt-2s,intercontinentale,1,2,none,true,50,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,50,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,1,0.5,,0,1
run5-tbt-2s,intercontinentale,1,2,none,true,51,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,0,0.0,,3,10
run5-tbt-2s,intercontinentale,1,2,none,true,51,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,1,0.5,,0,1
run5-tbt-2s,intercontinentale,1,2,none,true,51,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,2,0.66666667,,0,1
run5-tbt-2s,intercontinentale,1,2,none,true,52,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,6,0,0.0,,6,12
run5-tbt-2s,intercontinentale,1,2,none,true,52,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,52,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,5,5,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,53,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,0,0.0,,3,12
run5-tbt-2s,intercontinentale,1,2,none,true,53,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,53,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,54,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,1,0.14285714,,1,7
run5-tbt-2s,intercontinentale,1,2,none,true,54,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,1,0,0.0,,1,2
run5-tbt-2s,intercontinentale,1,2,none,true,54,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,4,2,0.5,,1,3
run5-tbt-2s,intercontinentale,1,2,none,true,55,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,4,2,0.5,,0,2
run5-tbt-2s,intercontinentale,1,2,none,true,55,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,55,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,4,0,0.0,,2,6
run5-tbt-2s,intercontinentale,1,2,none,true,all,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,308,32,0.1038961,,93,369
run5-tbt-2s,intercontinentale,1,2,none,true,all,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,45,32,0.71111111,,11,24
run5-tbt-2s,intercontinentale,1,2,none,true,all,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,102,66,0.64705882,,26,62
