experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run2-tbt-10s,regionale,1,10,none,true,21,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.69314718,0.96006678,8,4,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,21,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.03320767,8,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,21,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.07314089,4,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,22,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.69314718,0.98181504,8,4,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,22,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.10977911,8,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,22,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.12796408,4,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,23,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.60943791,1.00951019,10,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,23,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.20727129,10,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,23,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.1977611,2,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,24,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.09861229,0.98636875,9,3,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,24,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.24457946,9,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,24,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.25821071,3,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,25,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.33647224,0.94635922,7,5,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,25,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.05184075,7,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,25,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.10548153,5,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,26,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.69314718,0.94320064,8,4,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,26,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.17385867,8,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,26,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.23065802,4,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,27,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.60943791,0.98389813,10,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,27,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.22033521,10,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,27,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.23643709,2,0,12,m2,m3,not computable: a zero count in the epoch
